City Summary URL,City,Restaurant Name,Address,Price Point,Food Type(Cusine),Restaurant URL,Hours of Operation
https://www.foodora.com.au,Melbourne,Subway Prahran,"1/268 Chapel St, Prahran,3181,Melbourne",$,"Healthy Food,Sandwiches,Salad",https://www.foodora.com.au/restaurant/a2fy/subway-prahran," Mon - Fri 11:00 am - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Tom Dick and Harry,"1/242 Toorak Road, South Yarra,3141,Melbourne",$$$,"Australian,Salad,Breakfast,Cafe",https://www.foodora.com.au/restaurant/a3ju/tom-dick-and-harry," Mon - Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,Urban Projuice,"315 Montague Street, Albert Park,3206,Melbourne",$$,"Juices,Healthy Food,Smoothies",https://www.foodora.com.au/restaurant/a1fx/urban-projuice," Mon - Fri 11:00 am - 3:30 pm , Sat, Sun 10:00 am - 3:30 pm "
https://www.foodora.com.au,Melbourne,La Lucciola,"478 Chapel Street, South Yarra,3141,Melbourne",$$,"Italian,Soup,Pasta,Salad,Risotto",https://www.foodora.com.au/restaurant/a2qc/la-lucciola," Mon - Fri 11:00 am - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Perkup Burgers,"610 Collins Street,,3000,Melbourne",$$,"Vegan,Salad,Burgers",https://www.foodora.com.au/restaurant/a4ru/perkup-burgers," Mon - Fri 11:00 am - 8:30 pm , Sat, Sun 10:00 am - 8:30 pm "
https://www.foodora.com.au,Melbourne,Maccaroni,"10/12 Manchester Lane,3000,Melbourne",$$,"Pizza,Italian,Pasta,Salad,Risotto",https://www.foodora.com.au/restaurant/a1wx/maccaroni," Mon - Fri 11:00 am - 9:30 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Dear Liza,"181/183 St Kilda Rd, St Kilda,3182,Melbourne",$$,"Ribs,Salad,Cafe,Burgers",https://www.foodora.com.au/restaurant/a2kw/dear-liza," Mon, Tue 11:00 am - 4:00 pm , Wed - Fri 11:00 am - 8:30 pm , Sat 10:00 am - 8:30 pm , Sun 10:00 am - 4:00 pm "
https://www.foodora.com.au,Melbourne,Thai Thani,"293 Brunswick Street, Fitzroy,3065,Melbourne",$$,"Asian,Thai",https://www.foodora.com.au/restaurant/a7rg/thai-thani," Mon - Fri 11:00 am - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Stokers,"231 Clarendon Street, South,3205,Melbourne",$$,"Pancakes,Australian,Cafe,Burgers",https://www.foodora.com.au/restaurant/a6mr/stokers," Tue - Fri 11:00 am - 3:00 pm, 6:00 pm - 10:00 pm , Sat, Sun 10:00 am - 4:00 pm, 6:00 pm - 10:00 pm "
https://www.foodora.com.au,Melbourne,Metro Burgers,"12 Degraves Street,  ,,3000,Melbourne",$$,"Australian,American,Burgers",https://www.foodora.com.au/restaurant/a6oq/metro-burgers," Mon - Fri 11:00 am - 7:30 pm , Sat, Sun 10:00 am - 7:30 pm "
https://www.foodora.com.au,Melbourne,Dood 328,"328 Victoria Street, Brunswick,3056,Melbourne",$$,"Sandwiches,Cafe,Burgers",https://www.foodora.com.au/restaurant/a1ck/dood-328," Mon - Fri 11:00 am - 3:00 pm , Sat 10:00 am - 4:00 pm , Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,Curry Camp,"Shop 1, 796 Burke Rd, Camberwell,3124,Melbourne",$,"Meat,Spicy,Rice,Indian,Fish",https://www.foodora.com.au/restaurant/a6gz/curry-camp-vendor," Sat, Sun 10:00 am - 11:30 am "
https://www.foodora.com.au,Melbourne,Falafel Xtra,"139 Acland Street, St Kilda,3182,Melbourne",$$,"Salad,Healthy Food,Vegetarian,Falafel,Middle Eastern",https://www.foodora.com.au/restaurant/a3ek/falafel-xtra," Mon - Fri 11:00 am - 9:00 pm , Sat, Sun 10:00 am - 9:00 pm "
https://www.foodora.com.au,Melbourne,Pg.2,"207 Swan Street Richmond,3121,Melbourne",$,"Gluten-Free,Sandwiches,Salad,Cafe",https://www.foodora.com.au/restaurant/a5vr/pg-2," Mon - Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,Lady Grange,"1 Fitzroy Street, Saint Kilda,3182,Melbourne",$$$,"Pizza,Meat,Australian,Fish,Seafood",https://www.foodora.com.au/restaurant/a4fv/lady-grange," Tue - Fri 11:00 am - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Crafternoon,"718 Sydney Rd, Brunswick,3056,Melbourne",$$,"Low Carb,Sandwiches,Cafe,Burgers",https://www.foodora.com.au/restaurant/a7wq/crafternoon," Mon - Wed, Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,The Joinery,"5 Ormond Road, Elwood,3184,Melbourne",$$$,"Mexican,Pub grub,Australian,Salad,Share",https://www.foodora.com.au/restaurant/a5yp/the-joinery," Mon, Tue 11:00 am - 4:00 pm , Wed - Fri 11:00 am - 9:00 pm , Sat, Sun 10:00 am - 9:00 pm "
https://www.foodora.com.au,Melbourne,ISIT Cafe,"11 Izett Street, Prahran,3181,Melbourne",$$,"Healthy Food,Smoothies,Salad,Cafe",https://www.foodora.com.au/restaurant/a3ho/isit-cafe," Mon - Fri 11:00 am - 4:00 pm , Sat, Sun 10:00 am - 4:00 pm "
https://www.foodora.com.au,Melbourne,Ghin Kopi Thai Food,"58 Chapel Street, Windsor,3181,Melbourne",$$,"Rice,Curry,Salad,Thai,Noodles",https://www.foodora.com.au/restaurant/a5cs/ghin-kopi-thai-food," Mon - Thu 4:00 pm - 10:00 pm , Fri 11:00 am - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,All Day Donuts,"12 Edward St, Brunswick,3056,Melbourne",$,"Sweet-tooth,Bakery & Cafe,Dessert",https://www.foodora.com.au/restaurant/a2dz/all-day-donuts," Mon - Thu 11:00 am - 3:00 pm, 5:00 pm - 9:00 pm , Fri 11:00 am - 3:00 pm, 5:00 pm - 10:00 pm , Sat 10:30 am - 10:00 pm , Sun 10:30 am - 8:30 pm "
https://www.foodora.com.au,Melbourne,House of Skewers,"305 Waverley Rd, Malvern East,3145,Melbourne",$$,"Meat,Mediterranean,Greek",https://www.foodora.com.au/restaurant/a1my/house-of-skewers," Tue - Fri 11:00 am - 3:00 pm, 5:00 pm - 8:30 pm , Sat, Sun 10:30 am - 8:30 pm "
